Distance_Physicalspace_um,Distance_Wavelengthspace_nm,ISRF_Mp2S
-50,-0.745843281879892,2.88364517360322e-05
-49.95,-0.745097438598013,2.89703341837059e-05
-49.9,-0.744351595316133,2.91047526671546e-05
-49.85,-0.743605752034253,2.92397109102522e-05
-49.8,-0.742859908752373,2.93752126829835e-05
-49.75,-0.742114065470493,2.95112618023819e-05
-49.7,-0.741368222188613,2.96478621334919e-05
-49.65,-0.740622378906733,2.97850175903586e-05
-49.6,-0.739876535624853,2.99227321370452e-05
-49.55,-0.739130692342973,3.00610097886776e-05
-49.5,-0.738384849061093,3.01998546125193e-05
-49.45,-0.737639005779214,3.03392707290754e-05
-49.4,-0.736893162497334,3.04792623132279e-05
-49.35,-0.736147319215454,3.06198335954021e-05
-49.3,-0.735401475933574,3.07609888627662e-05
-49.25,-0.734655632651694,3.09027324604642e-05
-49.2,-0.733909789369814,3.10450687928831e-05
-49.15,-0.733163946087934,3.11880023249563e-05
-49.1,-0.732418102806054,3.13315375835026e-05
-49.05,-0.731672259524174,3.14756791586039e-05
-49,-0.730926416242295,3.16204317050205e-05
-48.95,-0.730180572960415,3.17657999436475e-05
-48.9,-0.729434729678535,3.19117886630104e-05
-48.85,-0.728688886396655,3.20584027208049e-05
-48.8,-0.727943043114775,3.22056470454783e-05
-48.75,-0.727197199832895,3.23535266378566e-05
-48.7,-0.726451356551015,3.25020465728168e-05
-48.65,-0.725705513269135,3.26512120010069e-05
-48.6,-0.724959669987255,3.28010281506141e-05
-48.55,-0.724213826705375,3.29515003291825e-05
-48.5,-0.723467983423496,3.31026339254832e-05
-48.45,-0.722722140141616,3.32544344114364e-05
-48.4,-0.721976296859736,3.34069073440873e-05
-48.35,-0.721230453577856,3.35600583676391e-05
-48.3,-0.720484610295976,3.37138932155419e-05
-48.25,-0.719738767014096,3.3868417712642e-05
-48.2,-0.718992923732216,3.40236377773904e-05
-48.15,-0.718247080450336,3.41795594241145e-05
-48.1,-0.717501237168457,3.43361887653538e-05
-48.05,-0.716755393886577,3.4493532014261e-05
-48,-0.716009550604697,3.46515954870712e-05
-47.95,-0.715263707322817,3.48103856056398e-05
-47.9,-0.714517864040937,3.49699089000534e-05
-47.85,-0.713772020759057,3.51301720113122e-05
-47.8,-0.713026177477177,3.52911816940893e-05
-47.75,-0.712280334195297,3.5452944819567e-05
-47.7,-0.711534490913417,3.5615468378352e-05
-47.65,-0.710788647631537,3.57787594834739e-05
-47.6,-0.710042804349658,3.59428253734659e-05
-47.55,-0.709296961067778,3.61076734155335e-05
-47.5,-0.708551117785898,3.62733111088104e-05
-47.45,-0.707805274504018,3.6439746087706e-05
-47.4,-0.707059431222138,3.66069861253466e-05
-47.35,-0.706313587940258,3.67750391371119e-05
-47.3,-0.705567744658378,3.694391318427e-05
-47.25,-0.704821901376498,3.71136164777146e-05
-47.2,-0.704076058094618,3.72841573818045e-05
-47.15,-0.703330214812739,3.74555444183103e-05
-47.1,-0.702584371530859,3.76277862704708e-05
-47.05,-0.701838528248979,3.78008917871609e-05
-47,-0.701092684967099,3.79748699871752e-05
-46.95,-0.700346841685219,3.81497300636294e-05
-46.9,-0.699600998403339,3.83254813884833e-05
-46.85,-0.698855155121459,3.85021335171874e-05
-46.8,-0.698109311839579,3.86796961934582e-05
-46.75,-0.697363468557699,3.88581793541835e-05
-46.7,-0.69661762527582,3.90375931344622e-05
-46.65,-0.69587178199394,3.92179478727816e-05
-46.6,-0.69512593871206,3.93992541163361e-05
-46.55,-0.69438009543018,3.95815226264907e-05
-46.5,-0.6936342521483,3.97647643843924e-05
-46.45,-0.69288840886642,3.9948990596734e-05
-46.4,-0.69214256558454,4.01342127016742e-05
-46.35,-0.69139672230266,4.03204423749167e-05
-46.3,-0.69065087902078,4.05076915359541e-05
-46.25,-0.6899050357389,4.06959723544787e-05
-46.2,-0.689159192457021,4.08852972569664e-05
-46.15,-0.688413349175141,4.10756789334355e-05
-46.1,-0.687667505893261,4.12671303443874e-05
-46.05,-0.686921662611381,4.1459664727931e-05
-46,-0.686175819329501,4.16532956070982e-05
-45.95,-0.685429976047621,4.18480367973513e-05
-45.9,-0.684684132765741,4.20439024142912e-05
-45.85,-0.683938289483861,4.22409068815675e-05
-45.8,-0.683192446201981,4.24390649389977e-05
-45.75,-0.682446602920102,4.26383916508998e-05
-45.7,-0.681700759638222,4.28389024146425e-05
-45.65,-0.680954916356342,4.30406129694195e-05
-45.6,-0.680209073074462,4.32435394052524e-05
-45.55,-0.679463229792582,4.34476981722273e-05
-45.5,-0.678717386510702,4.36531060899713e-05
-45.45,-0.677971543228822,4.38597803573733e-05
-45.4,-0.677225699946942,4.40677385625568e-05
-45.35,-0.676479856665062,4.42769986931072e-05
-45.3,-0.675734013383183,4.44875791465633e-05
-45.25,-0.674988170101303,4.46994987411747e-05
-45.2,-0.674242326819423,4.4912776726936e-05
-45.15,-0.673496483537543,4.5127432796899e-05
-45.1,-0.672750640255663,4.53434870987729e-05
-45.05,-0.672004796973783,4.55609602468167e-05
-45,-0.671258953691903,4.57798733340322e-05
-44.95,-0.670513110410023,4.60002479446611e-05
-44.9,-0.669767267128143,4.62221061669966e-05
-44.85,-0.669021423846264,4.64454706065137e-05
-44.8,-0.668275580564384,4.66703643993257e-05
-44.75,-0.667529737282504,4.68968112259745e-05
-44.7,-0.666783894000624,4.71248353255615e-05
-44.65,-0.666038050718744,4.73544615102256e-05
-44.6,-0.665292207436864,4.75857151799772e-05
-44.55,-0.664546364154984,4.78186223378941e-05
-44.5,-0.663800520873104,4.80532096056877e-05
-44.45,-0.663054677591224,4.82895042396471e-05
-44.4,-0.662308834309345,4.85275341469687e-05
-44.35,-0.661562991027465,4.87673279024794e-05
-44.3,-0.660817147745585,4.9008914765761e-05
-44.25,-0.660071304463705,4.92523246986846e-05
-44.2,-0.659325461181825,4.94975883833629e-05
-44.15,-0.658579617899945,4.97447372405278e-05
-44.1,-0.657833774618065,4.99938034483442e-05
-44.05,-0.657087931336185,5.02448199616654e-05
-44,-0.656342088054305,5.04978205317417e-05
-43.95,-0.655596244772426,5.07528397263889e-05
-43.9,-0.654850401490546,5.10099129506266e-05
-43.85,-0.654104558208666,5.12690764677952e-05
-43.8,-0.653358714926786,5.15303674211601e-05
-43.75,-0.652612871644906,5.17938238560137e-05
-43.7,-0.651867028363026,5.20594847422824e-05
-43.65,-0.651121185081146,5.23273899976503e-05
-43.6,-0.650375341799266,5.25975805112071e-05
-43.55,-0.649629498517386,5.28700981676321e-05
-43.5,-0.648883655235506,5.31449858719207e-05
-43.45,-0.648137811953627,5.34222875746673e-05
-43.4,-0.647391968671747,5.37020482979107e-05
-43.35,-0.646646125389867,5.39843141615554e-05
-43.3,-0.645900282107987,5.42691324103752e-05
-43.25,-0.645154438826107,5.45565514416135e-05
-43.2,-0.644408595544227,5.48466208331865e-05
-43.15,-0.643662752262347,5.51393913725033e-05
-43.1,-0.642916908980467,5.54349150859099e-05
-43.05,-0.642171065698587,5.5733245268771e-05
-43,-0.641425222416708,5.60344365161974e-05
-42.95,-0.640679379134828,5.63385447544315e-05
-42.9,-0.639933535852948,5.66456272729008e-05
-42.85,-0.639187692571068,5.69557427569505e-05
-42.8,-0.638441849289188,5.72689513212658e-05
-42.75,-0.637696006007308,5.75853145439959e-05
-42.7,-0.636950162725428,5.79048955015889e-05
-42.65,-0.636204319443548,5.82277588043505e-05
-42.6,-0.635458476161668,5.85539706327366e-05
-42.55,-0.634712632879788,5.88835987743909e-05
-42.5,-0.633966789597909,5.92167126619397e-05
-42.45,-0.633220946316029,5.95533834115538e-05
-42.4,-0.632475103034149,5.989368386229e-05
-42.35,-0.631729259752269,6.02376886162227e-05
-42.3,-0.630983416470389,6.05854740793774e-05
-42.25,-0.630237573188509,6.09371185034776e-05
-42.2,-0.629491729906629,6.12927020285154e-05
-42.15,-0.628745886624749,6.16523067261592e-05
-42.1,-0.62800004334287,6.20160166440073e-05
-42.05,-0.62725420006099,6.23839178507018e-05
-42,-0.62650835677911,6.27560984819111e-05
-41.95,-0.62576251349723,6.31326487871953e-05
-41.9,-0.62501667021535,6.35136611777627e-05
-41.85,-0.62427082693347,6.38992302751325e-05
-41.8,-0.62352498365159,6.42894529607112e-05
-41.75,-0.62277914036971,6.46844284262969e-05
-41.7,-0.62203329708783,6.50842582255208e-05
-41.65,-0.62128745380595,6.54890463262382e-05
-41.6,-0.620541610524071,6.58988991638794e-05
-41.55,-0.619795767242191,6.63139256957724e-05
-41.5,-0.619049923960311,6.67342374564465e-05
-41.45,-0.618304080678431,6.71599486139308e-05
-41.4,-0.617558237396551,6.75911760270543e-05
-41.35,-0.616812394114671,6.80280393037619e-05
-41.3,-0.616066550832791,6.84706608604556e-05
-41.25,-0.615320707550911,6.89191659823694e-05
-41.2,-0.614574864269031,6.93736828849922e-05
-41.15,-0.613829020987151,6.98343427765443e-05
-41.1,-0.613083177705272,7.03012799215221e-05
-41.05,-0.612337334423392,7.07746317053161e-05
-41,-0.611591491141512,7.12545386999166e-05
-40.95,-0.610845647859632,7.17411447307128e-05
-40.9,-0.610099804577752,7.22345969443969e-05
-40.85,-0.609353961295872,7.27350458779811e-05
-40.8,-0.608608118013992,7.32426455289373e-05
-40.75,-0.607862274732112,7.37575534264677e-05
-40.7,-0.607116431450233,7.42799307039144e-05
-40.65,-0.606370588168353,7.48099421723172e-05
-40.6,-0.605624744886473,7.53477563951262e-05
-40.55,-0.604878901604593,7.58935457640788e-05
-40.5,-0.604133058322713,7.6447486576246e-05
-40.45,-0.603387215040833,7.70097591122574e-05
-40.4,-0.602641371758953,7.75805477157104e-05
-40.35,-0.601895528477073,7.81600408737704e-05
-40.3,-0.601149685195193,7.8748431298968e-05
-40.25,-0.600403841913313,7.93459160122002e-05
-40.2,-0.599657998631434,7.9952696426938e-05
-40.15,-0.598912155349554,8.05689784346497e-05
-40.1,-0.598166312067674,8.11949724914406e-05
-40.05,-0.597420468785794,8.1830893705917e-05
-40,-0.596674625503914,8.24769619282743e-05
-39.95,-0.595928782222034,8.31334018406168e-05
-39.9,-0.595182938940154,8.38004430485096e-05
-39.85,-0.594437095658274,8.44783201737653e-05
-39.8,-0.593691252376394,8.51672729484694e-05
-39.75,-0.592945409094515,8.58675463102432e-05
-39.7,-0.592199565812635,8.65793904987483e-05
-39.65,-0.591453722530755,8.73030611534306e-05
-39.6,-0.590707879248875,8.80388194125054e-05
-39.55,-0.589962035966995,8.8786932013183e-05
-39.5,-0.589216192685115,8.95476713931335e-05
-39.45,-0.588470349403235,9.0321315793188e-05
-39.4,-0.587724506121355,9.11081493612766e-05
-39.35,-0.586978662839475,9.19084622575976e-05
