Distance_Physicalspace_um,Distance_Wavelengthspace_nm,ISRF_Mp2S
-50,-0.703101892629369,3.43915499518913e-05
-49.95,-0.70239879073674,3.45471201898005e-05
-49.9,-0.70169568884411,3.47033234794991e-05
-49.85,-0.700992586951481,3.48601641295788e-05
-49.8,-0.700289485058851,3.5017646496951e-05
-49.75,-0.699586383166222,3.51757749877383e-05
-49.7,-0.698883281273593,3.53345540581898e-05
-49.65,-0.698180179380963,3.54939882156202e-05
-49.6,-0.697477077488334,3.56540820193752e-05
-49.55,-0.696773975595705,3.5814840081822e-05
-49.5,-0.696070873703075,3.59762670693676e-05
-49.45,-0.695367771810446,3.61383677035037e-05
-49.4,-0.694664669917817,3.63011467618811e-05
-49.35,-0.693961568025187,3.64646090794131e-05
-49.3,-0.693258466132558,3.6628759549409e-05
-49.25,-0.692555364239928,3.67936031247394e-05
-49.2,-0.691852262347299,3.69591448190327e-05
-49.15,-0.69114916045467,3.71253897079061e-05
-49.1,-0.69044605856204,3.72923429302297e-05
-49.05,-0.689742956669411,3.74600096894262e-05
-49,-0.689039854776782,3.76283952548072e-05
-48.95,-0.688336752884152,3.77975049629465e-05
-48.9,-0.687633650991523,3.79673442190921e-05
-48.85,-0.686930549098894,3.81379184986181e-05
-48.8,-0.686227447206264,3.83092333485174e-05
-48.75,-0.685524345313635,3.84812943889365e-05
-48.7,-0.684821243421005,3.86541073147544e-05
-48.65,-0.684118141528376,3.88276778972053e-05
-48.6,-0.683415039635747,3.90020119855483e-05
-48.55,-0.682711937743117,3.91771155087845e-05
-48.5,-0.682008835850488,3.93529944774231e-05
-48.45,-0.681305733957859,3.95296549852975e-05
-48.4,-0.680602632065229,3.97071032114347e-05
-48.35,-0.6798995301726,3.98853454219767e-05
-48.3,-0.67919642827997,4.00643879721585e-05
-48.25,-0.678493326387341,4.02442373083421e-05
-48.2,-0.677790224494712,4.04248999701098e-05
-48.15,-0.677087122602082,4.0606382592417e-05
-48.1,-0.676384020709453,4.07886919078082e-05
-48.05,-0.675680918816824,4.0971834748696e-05
-48,-0.674977816924194,4.11558180497071e-05
-47.95,-0.674274715031565,4.13406488500953e-05
-47.9,-0.673571613138936,4.15263342962246e-05
-47.85,-0.672868511246306,4.17128816441252e-05
-47.8,-0.672165409353677,4.19002982621224e-05
-47.75,-0.671462307461047,4.20885916335424e-05
-47.7,-0.670759205568418,4.2277769359497e-05
-47.65,-0.670056103675789,4.24678391617487e-05
-47.6,-0.669353001783159,4.26588088856592e-05
-47.55,-0.66864989989053,4.28506865032242e-05
-47.5,-0.667946797997901,4.30434801161951e-05
-47.45,-0.667243696105271,4.32371979592931e-05
-47.4,-0.666540594212642,4.34318484035159e-05
-47.35,-0.665837492320012,4.36274399595404e-05
-47.3,-0.665134390427383,4.38239812812247e-05
-47.25,-0.664431288534754,4.40214811692122e-05
-47.2,-0.663728186642124,4.42199485746397e-05
-47.15,-0.663025084749495,4.44193926029541e-05
-47.1,-0.662321982856866,4.4619822517839e-05
-47.05,-0.661618880964236,4.48212477452564e-05
-47,-0.660915779071607,4.50236778776047e-05
-46.95,-0.660212677178978,4.52271226779978e-05
-46.9,-0.659509575286348,4.54315920846684e-05
-46.85,-0.658806473393719,4.56370962154983e-05
-46.8,-0.658103371501089,4.58436453726799e-05
-46.75,-0.65740026960846,4.60512500475131e-05
-46.7,-0.656697167715831,4.62599209253402e-05
-46.65,-0.655994065823201,4.64696688906229e-05
-46.6,-0.655290963930572,4.6680505032167e-05
-46.55,-0.654587862037943,4.68924406484959e-05
-46.5,-0.653884760145313,4.71054872533801e-05
-46.45,-0.653181658252684,4.73196565815247e-05
-46.4,-0.652478556360054,4.75349605944205e-05
-46.35,-0.651775454467425,4.77514114863626e-05
-46.3,-0.651072352574796,4.79690216906416e-05
-46.25,-0.650369250682166,4.81878038859115e-05
-46.2,-0.649666148789537,4.84077710027388e-05
-46.15,-0.648963046896908,4.86289362303394e-05
-46.1,-0.648259945004278,4.88513130235062e-05
-46.05,-0.647556843111649,4.90749151097336e-05
-46,-0.64685374121902,4.92997564965443e-05
-45.95,-0.64615063932639,4.95258514790233e-05
-45.9,-0.645447537433761,4.97532146475643e-05
-45.85,-0.644744435541131,4.99818608958357e-05
-45.8,-0.644041333648502,5.02118054289692e-05
-45.75,-0.643338231755873,5.044306377198e-05
-45.7,-0.642635129863243,5.06756517784216e-05
-45.65,-0.641932027970614,5.09095856392838e-05
-45.6,-0.641228926077985,5.11448818921385e-05
-45.55,-0.640525824185355,5.13815574305404e-05
-45.5,-0.639822722292726,5.16196295136893e-05
-45.45,-0.639119620400097,5.18591157763589e-05
-45.4,-0.638416518507467,5.21000342391024e-05
-45.35,-0.637713416614838,5.23424033187381e-05
-45.3,-0.637010314722208,5.25862418391242e-05
-45.25,-0.636307212829579,5.283156904223e-05
-45.2,-0.63560411093695,5.30784045995091e-05
-45.15,-0.63490100904432,5.33267686235848e-05
-45.1,-0.634197907151691,5.35766816802526e-05
-45.05,-0.633494805259061,5.38281648008103e-05
-45,-0.632791703366432,5.4081239494721e-05
-44.95,-0.632088601473803,5.4335927762619e-05
-44.9,-0.631385499581173,5.45922521096664e-05
-44.85,-0.630682397688544,5.4850235559268e-05
-44.8,-0.629979295795915,5.51099016671543e-05
-44.75,-0.629276193903285,5.5371274535841e-05
-44.7,-0.628573092010656,5.56343788294728e-05
-44.65,-0.627869990118026,5.58992397890622e-05
-44.6,-0.627166888225397,5.61658832481312e-05
-44.55,-0.626463786332768,5.64343356487661e-05
-44.5,-0.625760684440138,5.6704624058095e-05
-44.45,-0.625057582547509,5.69767761851964e-05
-44.4,-0.62435448065488,5.72508203984503e-05
-44.35,-0.62365137876225,5.7526785743342e-05
-44.3,-0.622948276869621,5.78047019607268e-05
-44.25,-0.622245174976992,5.80845995055673e-05
-44.2,-0.621542073084362,5.83665095661557e-05
-44.15,-0.620838971191733,5.8650464083827e-05
-44.1,-0.620135869299103,5.89364957731792e-05
-44.05,-0.619432767406474,5.92246381428084e-05
-44,-0.618729665513845,5.95149255165705e-05
-43.95,-0.618026563621215,5.9807393055382e-05
-43.9,-0.617323461728586,6.01020767795696e-05
-43.85,-0.616620359835957,6.03990135917827e-05
-43.8,-0.615917257943327,6.06982413004787e-05
-43.75,-0.615214156050698,6.09997986439931e-05
-43.7,-0.614511054158069,6.13037253152094e-05
-43.65,-0.613807952265439,6.16100619868368e-05
-43.6,-0.61310485037281,6.19188503373123e-05
-43.55,-0.61240174848018,6.22301330773377e-05
-43.5,-0.611698646587551,6.25439539770647e-05
-43.45,-0.610995544694922,6.28603578939414e-05
-43.4,-0.610292442802292,6.31793908012339e-05
-43.35,-0.609589340909663,6.35010998172352e-05
-43.3,-0.608886239017034,6.38255332351757e-05
-43.25,-0.608183137124404,6.41527405538489e-05
-43.2,-0.607480035231775,6.44827725089665e-05
-43.15,-0.606776933339145,6.48156811052548e-05
-43.1,-0.606073831446516,6.51515196493107e-05
-43.05,-0.605370729553887,6.54903427832262e-05
-43,-0.604667627661257,6.58322065190009e-05
